Country,Year,Population,Group
China,1950,543979200,Asia
China,1951,553614000,Asia
China,1952,564954500,Asia
China,1953,577378700,Asia
China,1954,589936000,Asia
China,1955,603320100,Asia
China,1956,616283000,Asia
China,1957,630003000,Asia
China,1958,643791550,Asia
China,1959,652179200,Asia
China,1960,654170700,Asia
China,1961,655260350,Asia
China,1962,664614660,Asia
China,1963,683903550,Asia
China,1964,704593800,Asia
China,1965,723846340,Asia
China,1966,742948540,Asia
China,1967,761006300,Asia
China,1968,780372000,Asia
China,1969,801431000,Asia
China,1970,822534460,Asia
China,1971,843285440,Asia
China,1972,862840400,Asia
China,1973,881652100,Asia
China,1974,899367700,Asia
China,1975,915124700,Asia
China,1976,929375940,Asia
China,1977,942581300,Asia
China,1978,955138940,Asia
China,1979,968298940,Asia
China,1980,982372500,Asia
China,1981,997259500,Asia
China,1982,1013483200,Asia
China,1983,1029226900,Asia
China,1984,1044172200,Asia
China,1985,1060240000,Asia
China,1986,1077770500,Asia
China,1987,1096851800,Asia
China,1988,1115889800,Asia
China,1989,1134414700,Asia
China,1990,1153704200,Asia
China,1991,1170626200,Asia
China,1992,1183813400,Asia
China,1993,1195855600,Asia
China,1994,1207286700,Asia
China,1995,1218144400,Asia
China,1996,1228298900,Asia
China,1997,1237801500,Asia
China,1998,1246836100,Asia
China,1999,1255433200,Asia
China,2000,1264099100,Asia
China,2001,1272739600,Asia
China,2002,1280926100,Asia
China,2003,1288873300,Asia
China,2004,1296816800,Asia
China,2005,1304887600,Asia
China,2006,1313086600,Asia
China,2007,1321513200,Asia
China,2008,1330167200,Asia
China,2009,1339125600,Asia
China,2010,1348191400,Asia
China,2011,1357095400,Asia
China,2012,1366560800,Asia
China,2013,1376100400,Asia
China,2014,1385189600,Asia
China,2015,1393715500,Asia
China,2016,1401889700,Asia
China,2017,1410276000,Asia
China,2018,1417069400,Asia
China,2019,1421864100,Asia
China,2020,1424929800,Asia
China,2021,1425893500,Asia
India,1950,357021120,Asia
India,1951,364922370,Asia
India,1952,372997200,Asia
India,1953,381227700,Asia
India,1954,389731400,Asia
India,1955,398578000,Asia
India,1956,407656600,Asia
India,1957,416935400,Asia
India,1958,426295780,Asia
India,1959,435900350,Asia
India,1960,445954560,Asia
India,1961,456351870,Asia
India,1962,467024200,Asia
India,1963,477933630,Asia
India,1964,489059300,Asia
India,1965,500114340,Asia
India,1966,510992600,Asia
India,1967,521987070,Asia
India,1968,533431900,Asia
India,1969,545314700,Asia
India,1970,557501300,Asia
India,1971,569999170,Asia
India,1972,582837950,Asia
India,1973,596107460,Asia
India,1974,609721900,Asia
India,1975,623524200,Asia
India,1976,637451460,Asia
India,1977,651685600,Asia
India,1978,666267800,Asia
India,1979,681248400,Asia
India,1980,696828350,Asia
India,1981,712869300,Asia
India,1982,729169500,Asia
India,1983,745826560,Asia
India,1984,762895170,Asia
India,1985,780242100,Asia
India,1986,797879000,Asia
India,1987,815716160,Asia
India,1988,833729660,Asia
India,1989,852012700,Asia
India,1990,870452160,Asia
India,1991,888941760,Asia
India,1992,907574100,Asia
India,1993,926351300,Asia
India,1994,945261950,Asia
India,1995,964279100,Asia
India,1996,983281200,Asia
India,1997,1002335200,Asia
India,1998,1021434560,Asia
India,1999,1040500030,Asia
